instance,method,seed,best,wall,shap_time,fit_time,refreshes
la02,SHAP-off,10,883,0.21,0.000,0.000,0
la02,SG-ACO,10,883,1.39,0.258,0.891,2
la02,Mag-only,10,943,0.20,0.000,0.000,0
la02,AS-std,11,891,0.18,0.000,0.000,0
la02,MMAS,11,864,0.16,0.000,0.000,0
la02,Tabu,11,910,0.00,0.000,0.000,0
la02,SHAP-off,11,848,0.21,0.000,0.000,0
la02,SG-ACO,11,848,1.36,0.247,0.872,2
la02,Mag-only,11,954,0.20,0.000,0.000,0
la02,AS-std,12,864,0.18,0.000,0.000,0
la02,MMAS,12,852,0.16,0.000,0.000,0
la02,Tabu,12,891,0.00,0.000,0.000,0
la02,SHAP-off,12,879,0.21,0.000,0.000,0
la02,SG-ACO,12,855,1.43,0.281,0.909,2
la02,Mag-only,12,901,0.20,0.000,0.000,0
la02,AS-std,13,866,0.19,0.000,0.000,0
la02,MMAS,13,841,0.16,0.000,0.000,0
la02,Tabu,13,910,0.00,0.000,0.000,0
la02,SHAP-off,13,842,0.21,0.000,0.000,0
la02,SG-ACO,13,868,1.39,0.256,0.884,2
la02,Mag-only,13,947,0.21,0.000,0.000,0
la02,AS-std,14,874,0.19,0.000,0.000,0
la02,MMAS,14,874,0.17,0.000,0.000,0
la02,Tabu,14,910,0.00,0.000,0.000,0
la02,SHAP-off,14,832,0.23,0.000,0.000,0
la02,SG-ACO,14,840,2.04,0.407,1.360,3
la02,Mag-only,14,976,0.21,0.000,0.000,0
la02,AS-std,15,900,0.19,0.000,0.000,0
la02,MMAS,15,837,0.17,0.000,0.000,0
la02,Tabu,15,910,0.00,0.000,0.000,0
la02,SHAP-off,15,833,0.21,0.000,0.000,0
la02,SG-ACO,15,860,2.81,0.605,1.872,4
la02,Mag-only,15,970,0.21,0.000,0.000,0
la02,AS-std,16,885,0.19,0.000,0.000,0
la02,MMAS,16,828,0.17,0.000,0.000,0
la02,Tabu,16,910,0.00,0.000,0.000,0
la02,SHAP-off,16,869,0.22,0.000,0.000,0
la02,SG-ACO,16,870,1.36,0.255,0.860,2
la02,Mag-only,16,942,0.21,0.000,0.000,0
la02,AS-std,17,827,0.19,0.000,0.000,0
la02,MMAS,17,909,0.17,0.000,0.000,0
la02,Tabu,17,910,0.00,0.000,0.000,0
la02,SHAP-off,17,799,0.22,0.000,0.000,0
la02,SG-ACO,17,799,0.81,0.125,0.448,1
la02,Mag-only,17,917,0.23,0.000,0.000,0
la02,AS-std,18,881,0.21,0.000,0.000,0
la02,MMAS,18,856,0.17,0.000,0.000,0
la02,Tabu,18,910,0.00,0.000,0.000,0
la02,SHAP-off,18,856,0.21,0.000,0.000,0
la02,SG-ACO,18,866,1.38,0.265,0.878,2
la02,Mag-only,18,953,0.20,0.000,0.000,0
la02,AS-std,19,884,0.18,0.000,0.000,0
la02,MMAS,19,804,0.16,0.000,0.000,0
la02,Tabu,19,910,0.00,0.000,0.000,0
la02,SHAP-off,19,880,0.22,0.000,0.000,0
la02,SG-ACO,19,861,1.39,0.251,0.884,2
la02,Mag-only,19,906,0.21,0.000,0.000,0
la02,AS-std,20,900,0.19,0.000,0.000,0
la02,MMAS,20,870,0.17,0.000,0.000,0
la02,Tabu,20,910,0.00,0.000,0.000,0
la02,SHAP-off,20,902,0.22,0.000,0.000,0
la02,SG-ACO,20,861,1.39,0.260,0.889,2
la02,Mag-only,20,996,0.21,0.000,0.000,0
la02,AS-std,21,845,0.19,0.000,0.000,0
la02,MMAS,21,848,0.16,0.000,0.000,0
la02,Tabu,21,910,0.00,0.000,0.000,0
la02,SHAP-off,21,886,0.21,0.000,0.000,0
la02,SG-ACO,21,862,1.45,0.283,0.925,2
la02,Mag-only,21,943,0.20,0.000,0.000,0
la02,AS-std,22,801,0.19,0.000,0.000,0
la02,MMAS,22,801,0.17,0.000,0.000,0
la02,Tabu,22,910,0.00,0.000,0.000,0
la02,SHAP-off,22,842,0.23,0.000,0.000,0
la02,SG-ACO,22,800,1.39,0.273,0.872,2
la02,Mag-only,22,906,0.20,0.000,0.000,0
la02,AS-std,23,857,0.18,0.000,0.000,0
la02,MMAS,23,836,0.16,0.000,0.000,0
la02,Tabu,23,910,0.00,0.000,0.000,0
la02,SHAP-off,23,831,0.21,0.000,0.000,0
la02,SG-ACO,23,831,0.81,0.129,0.449,1
la02,Mag-only,23,903,0.22,0.000,0.000,0
la02,AS-std,24,831,0.19,0.000,0.000,0
la02,MMAS,24,831,0.17,0.000,0.000,0
la02,Tabu,24,910,0.00,0.000,0.000,0
la02,SHAP-off,24,861,0.22,0.000,0.000,0
la02,SG-ACO,24,861,0.78,0.125,0.429,1
la02,Mag-only,24,976,0.21,0.000,0.000,0
la02,AS-std,25,893,0.18,0.000,0.000,0
la02,MMAS,25,850,0.16,0.000,0.000,0
la02,Tabu,25,910,0.00,0.000,0.000,0
la02,SHAP-off,25,856,0.21,0.000,0.000,0
la02,SG-ACO,25,831,1.43,0.277,0.913,2
la02,Mag-only,25,934,0.20,0.000,0.000,0
la03,SPT,0,1066,0,0,0,0
la03,MWKR,0,797,0,0,0,0
la03,MOR,0,775,0,0,0,0
la03,AS-std,1,788,0.18,0.000,0.000,0
la03,MMAS,1,743,0.16,0.000,0.000,0
la03,Tabu,1,731,0.00,0.000,0.000,0
la03,SHAP-off,1,717,0.24,0.000,0.000,0
la03,SG-ACO,1,717,0.81,0.126,0.428,1
la03,AS-std,2,739,0.20,0.000,0.000,0
la03,MMAS,2,755,0.18,0.000,0.000,0
la03,Tabu,2,768,0.00,0.000,0.000,0
la03,SHAP-off,2,783,0.22,0.000,0.000,0
la03,SG-ACO,2,756,1.41,0.261,0.906,2
la03,AS-std,3,780,0.18,0.000,0.000,0
la03,MMAS,3,769,0.18,0.000,0.000,0
la03,Tabu,3,731,0.00,0.000,0.000,0
la03,SHAP-off,3,769,0.21,0.000,0.000,0
la03,SG-ACO,3,777,5.25,1.375,3.506,7
la03,AS-std,4,827,0.19,0.000,0.000,0
la03,MMAS,4,805,0.17,0.000,0.000,0
la03,Tabu,4,731,0.00,0.000,0.000,0
la03,SHAP-off,4,738,0.22,0.000,0.000,0
la03,SG-ACO,4,775,1.99,0.395,1.317,3
la03,AS-std,5,813,0.18,0.000,0.000,0
la03,MMAS,5,781,0.17,0.000,0.000,0
la03,Tabu,5,768,0.00,0.000,0.000,0
la03,SHAP-off,5,748,0.23,0.000,0.000,0
la03,SG-ACO,5,748,0.79,0.128,0.430,1
la03,AS-std,6,831,0.19,0.000,0.000,0
la03,MMAS,6,771,0.16,0.000,0.000,0
la03,Tabu,6,768,0.00,0.000,0.000,0
la03,SHAP-off,6,767,0.21,0.000,0.000,0
la03,SG-ACO,6,758,4.15,1.006,2.816,6
la03,AS-std,7,810,0.19,0.000,0.000,0
la03,MMAS,7,745,0.17,0.000,0.000,0
la03,Tabu,7,731,0.00,0.000,0.000,0
la03,SHAP-off,7,759,0.22,0.000,0.000,0
la03,SG-ACO,7,757,1.39,0.263,0.879,2
la03,AS-std,8,750,0.19,0.000,0.000,0
la03,MMAS,8,782,0.16,0.000,0.000,0
la03,Tabu,8,731,0.00,0.000,0.000,0
la03,SHAP-off,8,727,0.21,0.000,0.000,0
la03,SG-ACO,8,727,0.79,0.124,0.440,1
la03,AS-std,9,792,0.19,0.000,0.000,0
la03,MMAS,9,710,0.16,0.000,0.000,0
la03,Tabu,9,768,0.00,0.000,0.000,0
la03,SHAP-off,9,725,0.22,0.000,0.000,0
la03,SG-ACO,9,725,0.77,0.122,0.423,1
la03,AS-std,10,794,0.19,0.000,0.000,0
la03,MMAS,10,770,0.16,0.000,0.000,0
la03,Tabu,10,768,0.00,0.000,0.000,0
la03,SHAP-off,10,756,0.22,0.000,0.000,0
la03,SG-ACO,10,737,1.37,0.251,0.871,2
la03,AS-std,11,823,0.18,0.000,0.000,0
la03,MMAS,11,820,0.16,0.000,0.000,0
la03,Tabu,11,731,0.00,0.000,0.000,0
la03,SHAP-off,11,766,0.22,0.000,0.000,0
la03,SG-ACO,11,772,0.78,0.122,0.423,1
la03,AS-std,12,838,0.18,0.000,0.000,0
la03,MMAS,12,780,0.16,0.000,0.000,0
la03,Tabu,12,731,0.00,0.000,0.000,0
la03,SHAP-off,12,744,0.23,0.000,0.000,0
la03,SG-ACO,12,785,3.99,0.976,2.679,5
la03,AS-std,13,796,0.21,0.000,0.000,0
la03,MMAS,13,826,0.18,0.000,0.000,0
la03,Tabu,13,768,0.00,0.000,0.000,0
la03,SHAP-off,13,749,0.22,0.000,0.000,0
la03,SG-ACO,13,749,1.39,0.263,0.884,2
la03,AS-std,14,801,0.18,0.000,0.000,0
la03,MMAS,14,752,0.16,0.000,0.000,0
la03,Tabu,14,768,0.00,0.000,0.000,0
la03,SHAP-off,14,783,0.22,0.000,0.000,0
la03,SG-ACO,14,777,1.44,0.272,0.927,2
la03,AS-std,15,809,0.19,0.000,0.000,0
la03,MMAS,15,761,0.17,0.000,0.000,0
la03,Tabu,15,731,0.00,0.000,0.000,0
la03,SHAP-off,15,706,0.22,0.000,0.000,0
la03,SG-ACO,15,755,1.97,0.385,1.325,3
la03,AS-std,16,777,0.19,0.000,0.000,0
la03,MMAS,16,754,0.17,0.000,0.000,0
